zip,city,pop,state,loc
1001,AGAWAM,15338,MA,"[-72.622739, 42.070206]"
1002,CUSHMAN,36963,MA,"[-72.51565, 42.377017]"
1005,BARRE,4546,MA,"[-72.108354, 42.409698]"
1007,BELCHERTOWN,10579,MA,"[-72.410953, 42.275103]"
1008,BLANDFORD,1240,MA,"[-72.936114, 42.182949]"
1010,BRIMFIELD,3706,MA,"[-72.188455, 42.116543]"
1011,CHESTER,1688,MA,"[-72.988761, 42.279421]"
1012,CHESTERFIELD,177,MA,"[-72.833309, 42.38167]"
1013,CHICOPEE,23396,MA,"[-72.607962, 42.162046]"
1020,CHICOPEE,31495,MA,"[-72.576142, 42.176443]"
1022,WESTOVER AFB,1764,MA,"[-72.558657, 42.196672]"
1026,CUMMINGTON,1484,MA,"[-72.905767, 42.435296]"
1027,MOUNT TOM,16864,MA,"[-72.679921, 42.264319]"
1028,EAST LONGMEADOW,13367,MA,"[-72.505565, 42.067203]"
1030,FEEDING HILLS,11985,MA,"[-72.675077, 42.07182]"
1031,GILBERTVILLE,2385,MA,"[-72.198585, 42.332194]"
1032,GOSHEN,122,MA,"[-72.844092, 42.466234]"
1033,GRANBY,5526,MA,"[-72.520001, 42.255704]"
1034,TOLLAND,1652,MA,"[-72.908793, 42.070234]"
1035,HADLEY,4231,MA,"[-72.571499, 42.36062]"
1036,HAMPDEN,4709,MA,"[-72.431823, 42.064756]"
1038,HATFIELD,3184,MA,"[-72.616735, 42.38439]"
1039,HAYDENVILLE,1387,MA,"[-72.703178, 42.381799]"
1040,HOLYOKE,43704,MA,"[-72.626193, 42.202007]"
1050,HUNTINGTON,2084,MA,"[-72.873341, 42.265301]"
1053,LEEDS,1350,MA,"[-72.703403, 42.354292]"
1054,LEVERETT,1748,MA,"[-72.499334, 42.46823]"
1056,LUDLOW,18820,MA,"[-72.471012, 42.172823]"
1057,MONSON,8194,MA,"[-72.319634, 42.101017]"
1060,FLORENCE,27939,MA,"[-72.654245, 42.324662]"
1068,OAKHAM,1503,MA,"[-72.051265, 42.348033]"
1069,PALMER,9778,MA,"[-72.328785, 42.176233]"
1070,PLAINFIELD,571,MA,"[-72.918289, 42.514393]"
1071,RUSSELL,608,MA,"[-72.840343, 42.147063]"
1072,SHUTESBURY,1533,MA,"[-72.421342, 42.481968]"
1073,SOUTHAMPTON,4478,MA,"[-72.719381, 42.224697]"
1075,SOUTH HADLEY,16699,MA,"[-72.581137, 42.237537]"
1077,SOUTHWICK,7667,MA,"[-72.770588, 42.051099]"
1080,THREE RIVERS,2425,MA,"[-72.362352, 42.181894]"
1081,WALES,1732,MA,"[-72.204592, 42.062734]"
1082,WARE,9808,MA,"[-72.258285, 42.261831]"
1085,MONTGOMERY,40117,MA,"[-72.754318, 42.129484]"
1089,WEST SPRINGFIELD,27537,MA,"[-72.641109, 42.115066]"
1092,WEST WARREN,4441,MA,"[-72.203639, 42.20734]"
1095,WILBRAHAM,12635,MA,"[-72.446415, 42.124506]"
1096,WILLIAMSBURG,2295,MA,"[-72.777989, 42.408522]"
1098,WORTHINGTON,877,MA,"[-72.931427, 42.384293]"
